cell_type,n,nt,sc,dom_layer,layer_b_pct,tot,contra_pct,out_syn
"(PLP191,PLP192)a",7,acetylcholine,central,,,,1.19,2176.0
"(PLP191,PLP192)b",10,acetylcholine,central,,,,2.55,2118.0
"(PS023,PS024)a",3,acetylcholine,central,,,,5.52,887.0
"(PS023,PS024)b",6,acetylcholine,central,,,,4.99,1862.0
5-HT-IR  Tan,6,serotonin,optic,,,,1.41,142.0
5-HTPLP01,4,glutamate,central,,,,4.67,28394.0
5-HTPMPD01,2,dopamine,central,,,,44.19,1016.0
5-HTPMPV01,2,dopamine,central,,,,88.95,1267.0
5-HTPMPV03,2,dopamine,visual_centrifugal,a,25.0,8.0,61.02,5192.0
AC neuron,4,acetylcholine,central,,,,38.43,1275.0
AL-AST1,2,acetylcholine,central,,,,9.2,4814.0
AL-MBDL1,2,acetylcholine,central,,,,49.51,14251.0
ALBN1,2,gaba,central,,,,94.76,5114.0
ALIN1,4,glutamate,central,,,,50.85,5355.0
ALIN2,2,glutamate,central,,,,8.9,5676.0
ALIN3,4,acetylcholine,central,,,,39.83,3618.0
ALIN4,2,gaba,central,,,,51.39,2197.0
ALIN5,2,gaba,central,,,,88.1,9335.0
ALIN6,2,gaba,central,,,,85.76,3806.0
ALIN7,2,gaba,central,,,,72.76,3480.0
ALIN8,2,acetylcholine,central,,,,92.97,1337.0
ALON1,2,acetylcholine,central,,,,11.49,2655.0
ALON2,2,acetylcholine,central,,,,43.31,1935.0
ALON3,4,gaba,central,,,,11.31,2060.0
AMMC-A1,5,acetylcholine,central,,,,20.0,1220.0
AMMC028,4,gaba,central,,,,6.15,6792.0
AN01A021,2,serotonin,ascending,,,,34.44,331.0
AN19A018,2,acetylcholine,ascending,,,,30.81,1347.0
ANXXX005,3,serotonin,ascending,,,,29.53,149.0
AN_AMMC_SAD_1,4,glutamate,ascending,,,,8.51,987.0
AN_AMMC_SAD_2,2,gaba,ascending,,,,9.88,648.0
AN_AVLP_1,2,acetylcholine,ascending,,,,3.53,5160.0
AN_AVLP_10,2,gaba,ascending,,,,0.54,5322.0
AN_AVLP_11,2,acetylcholine,ascending,,,,3.65,6247.0
AN_AVLP_12,2,acetylcholine,ascending,,,,1.49,4219.0
AN_AVLP_13,2,acetylcholine,ascending,,,,2.32,1549.0
AN_AVLP_14,2,acetylcholine,ascending,,,,10.28,6704.0
AN_AVLP_15,2,acetylcholine,ascending,,,,7.32,1982.0
AN_AVLP_16,2,acetylcholine,ascending,,,,5.82,3971.0
AN_AVLP_17,2,acetylcholine,ascending,,,,11.19,1037.0
AN_AVLP_18,2,acetylcholine,ascending,,,,0.74,6861.0
AN_AVLP_19,2,acetylcholine,ascending,,,,8.68,3721.0
AN_AVLP_2,2,acetylcholine,ascending,,,,1.14,3586.0
AN_AVLP_20,2,acetylcholine,ascending,,,,8.26,8773.0
AN_AVLP_21,2,acetylcholine,ascending,,,,4.48,5311.0
AN_AVLP_22,2,gaba,ascending,,,,5.57,2888.0
AN_AVLP_23,2,acetylcholine,ascending,,,,1.35,5098.0
AN_AVLP_24,2,acetylcholine,ascending,,,,0.72,6907.0
AN_AVLP_25,2,acetylcholine,ascending,,,,0.11,4520.0
AN_AVLP_26,2,acetylcholine,ascending,,,,4.57,2033.0
AN_AVLP_27,4,acetylcholine,ascending,,,,10.24,1660.0
AN_AVLP_28,8,acetylcholine,ascending,,,,16.01,581.0
AN_AVLP_29,2,acetylcholine,ascending,,,,0.2,5952.0
AN_AVLP_3,2,acetylcholine,ascending,,,,2.82,5532.0
AN_AVLP_30,2,gaba,ascending,,,,10.12,6129.0
AN_AVLP_31,2,acetylcholine,ascending,,,,3.49,5103.0
AN_AVLP_32,2,acetylcholine,ascending,,,,0.74,5514.0
AN_AVLP_33,2,acetylcholine,ascending,,,,1.63,6131.0
AN_AVLP_34,6,acetylcholine,ascending,,,,1.52,8219.0
AN_AVLP_35,2,acetylcholine,ascending,,,,2.03,5459.0
AN_AVLP_36,2,acetylcholine,ascending,,,,0.29,4131.0
AN_AVLP_37,2,gaba,ascending,,,,1.15,1214.0
AN_AVLP_38,2,gaba,ascending,,,,0.8,1498.0
AN_AVLP_39,2,glutamate,ascending,,,,2.31,1821.0
AN_AVLP_4,2,acetylcholine,ascending,,,,21.83,1942.0
AN_AVLP_40,2,acetylcholine,ascending,,,,0.0,2999.0
AN_AVLP_41,4,acetylcholine,ascending,,,,3.99,5715.0
AN_AVLP_42,4,acetylcholine,ascending,,,,0.21,2920.0
AN_AVLP_43,6,acetylcholine,ascending,,,,0.54,6088.0
AN_AVLP_44,2,acetylcholine,ascending,,,,2.56,3442.0
AN_AVLP_45,6,acetylcholine,ascending,,,,0.02,5837.0
AN_AVLP_46,5,acetylcholine,ascending,,,,0.61,1799.0
AN_AVLP_47,2,acetylcholine,ascending,,,,2.88,2713.0
AN_AVLP_48,9,acetylcholine,ascending,,,,11.65,1932.0
AN_AVLP_49,2,acetylcholine,ascending,,,,0.89,5277.0
AN_AVLP_5,2,gaba,ascending,,,,27.64,1657.0
AN_AVLP_50,2,acetylcholine,ascending,,,,2.22,2791.0
AN_AVLP_51,17,acetylcholine,ascending,,,,9.39,3644.0
AN_AVLP_52,2,gaba,ascending,,,,4.19,3200.0
AN_AVLP_53,27,acetylcholine,ascending,,,,4.13,6128.0
AN_AVLP_54,4,acetylcholine,ascending,,,,5.36,6551.0
AN_AVLP_6,2,acetylcholine,ascending,,,,0.09,5378.0
AN_AVLP_7,2,acetylcholine,ascending,,,,0.28,4656.0
AN_AVLP_8,2,gaba,ascending,,,,5.51,3704.0
AN_AVLP_9,2,gaba,ascending,,,,3.96,3913.0
AN_AVLP_GNG_1,2,acetylcholine,ascending,,,,15.11,2733.0
AN_AVLP_GNG_10,2,gaba,ascending,,,,6.71,4276.0
AN_AVLP_GNG_11,2,acetylcholine,ascending,,,,9.06,3111.0
AN_AVLP_GNG_12,2,gaba,ascending,,,,14.73,509.0
AN_AVLP_GNG_13,3,gaba,ascending,,,,5.14,1323.0
AN_AVLP_GNG_14,2,gaba,ascending,,,,9.6,844.0
AN_AVLP_GNG_15,2,gaba,ascending,,,,22.24,805.0
AN_AVLP_GNG_16,2,gaba,ascending,,,,9.09,2146.0
AN_AVLP_GNG_17,2,acetylcholine,ascending,,,,11.57,3214.0
AN_AVLP_GNG_18,2,acetylcholine,ascending,,,,8.71,3741.0
AN_AVLP_GNG_19,2,acetylcholine,ascending,,,,14.64,3778.0
AN_AVLP_GNG_2,2,gaba,ascending,,,,15.12,1045.0
AN_AVLP_GNG_20,2,gaba,ascending,,,,22.19,1636.0
AN_AVLP_GNG_21,6,acetylcholine,ascending,,,,20.83,2943.0
AN_AVLP_GNG_22,4,acetylcholine,ascending,,,,12.9,2435.0
AN_AVLP_GNG_23,15,gaba,ascending,,,,12.72,5582.0
AN_AVLP_GNG_3,2,gaba,ascending,,,,4.99,3625.0
