partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
cell_class,ALIN | ALLN,0,0-100,50.0,1659,1119,26080.0,26080.0,0.674502712477396,0.6515745168179161,0.6966246141155414
cell_class,ALIN | ALLN,1,100-200,150.0,455,214,1086.0,1086.0,0.4703296703296703,0.4249076504069185,0.5162485132887881
cell_class,ALIN | ALLN,2,200-300,250.0,291,107,638.0,638.0,0.36769759450171824,0.3143555537458785,0.4244872689765597
cell_class,ALIN | ALLN,3,300-400,350.0,261,100,747.0,747.0,0.3831417624521073,0.3262611461727005,0.44341250026350887
cell_class,ALIN | ALLN,6,600-700,650.0,244,66,284.0,284.0,0.27049180327868855,0.2186303533202934,0.3294681095689069
cell_class,ALIN | ALLN,8,800-900,850.0,200,39,135.0,135.0,0.195,0.14605441564505764,0.2554416479651182
cell_class,ALIN | ALLN,10,1000-1100,1050.0,184,35,115.0,115.0,0.19021739130434784,0.14006970590718928,0.253035974623641
cell_class,ALIN | ALLN,11,1100-1200,1150.0,166,18,43.0,43.0,0.10843373493975904,0.06969712284719076,0.16488380432259567
cell_class,ALIN | ALLN,15,1500-1600,1550.0,141,17,36.0,36.0,0.12056737588652482,0.07665405308915482,0.18460790480139597
cell_class,ALIN | ALLN,17,1700-1800,1750.0,124,14,31.0,31.0,0.11290322580645161,0.0684553693698627,0.18061535565235226
cell_class,ALIN | ALLN,18,1800-1900,1850.0,139,11,18.0,18.0,0.07913669064748201,0.044760817373266724,0.13615006573081498
cell_class,ALLN | ALLN,0,0-100,50.0,23981,15704,313004.0,313004.0,0.6548517576414662,0.6488101541243866,0.6608437566189723
cell_class,ALLN | ALLN,1,100-200,150.0,4534,1534,4390.0,4390.0,0.3383325981473313,0.3247022914447012,0.3522366303545966
cell_class,ALLN | ALLN,2,200-300,250.0,2721,770,1920.0,1920.0,0.28298419698640204,0.26637398908902393,0.3002063214875615
cell_class,ALLN | ALLN,3,300-400,350.0,2224,544,1332.0,1332.0,0.2446043165467626,0.22718948395318617,0.2628999371259426
cell_class,ALLN | ALLN,4,400-500,450.0,2127,447,948.0,948.0,0.21015514809590974,0.19337079007852936,0.22798460302061052
cell_class,ALLN | ALLN,5,500-600,550.0,1857,332,697.0,697.0,0.17878298330640818,0.16202370675350022,0.19686852781391276
cell_class,ALLN | ALLN,6,600-700,650.0,1782,323,670.0,670.0,0.18125701459034793,0.1640623530442588,0.19982299938565434
cell_class,ALLN | ALLN,7,700-800,750.0,1678,218,419.0,419.0,0.1299165673420739,0.11467114443228626,0.14685265186339347
cell_class,ALLN | ALLN,8,800-900,850.0,1512,190,358.0,358.0,0.12566137566137567,0.10989643815124149,0.1433236872233359
cell_class,ALLN | ALLN,9,900-1000,950.0,1352,166,325.0,325.0,0.1227810650887574,0.10634806981240874,0.1413516614836365
cell_class,ALLN | ALLN,10,1000-1100,1050.0,1225,144,238.0,238.0,0.11755102040816326,0.10069895782453966,0.1367943041223215
cell_class,ALLN | ALLN,11,1100-1200,1150.0,1184,116,202.0,202.0,0.09797297297297297,0.0823172897110148,0.11622904845393915
