partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
cell_type,APL | KCab,0,0-100,50.0,1643,1643,69191.0,69191.0,1.0,0.9976672923491852,1.0
cell_type,APL | KCg-m,0,0-100,50.0,2189,2189,83387.0,83387.0,1.0,0.9982481178759103,0.9999999999999999
cell_type,AVLP479 | LC17,0,0-100,50.0,551,551,8833.0,8833.0,1.0,0.9930762221145639,1.0
cell_type,Am1 | T4b,0,0-100,50.0,1467,1462,17536.0,17536.0,0.9965916837082481,0.9920459927109732,0.9985433406339635
cell_type,Am1 | T5b,0,0-100,50.0,1485,1484,20747.0,20747.0,0.9993265993265993,0.9961952912836033,0.9998811214120121
cell_type,Am1 | TmY5a,0,0-100,50.0,1067,1064,7124.0,7124.0,0.9971883786316776,0.9917661101076423,0.9990433616200158
cell_type,BM_InOm | BM_InOm,0,0-100,50.0,14886,3387,4230.0,4230.0,0.2275292220878678,0.2208651911368034,0.23433384872403698
cell_type,BM_InOm | BM_InOm,1,100-200,150.0,6739,761,856.0,856.0,0.11292476628579907,0.10558751236057788,0.12070307705501805
cell_type,BM_InOm | BM_InOm,2,200-300,250.0,5033,422,464.0,464.0,0.08384661235843434,0.07650316455957441,0.09182486068545216
cell_type,BM_InOm | BM_InOm,3,300-400,350.0,4759,311,337.0,337.0,0.06534986341668418,0.05867277914245118,0.07272810557309345
cell_type,BM_InOm | BM_InOm,4,400-500,450.0,4902,273,300.0,300.0,0.05569155446756426,0.049612773881013275,0.06246618113457468
cell_type,BM_InOm | BM_InOm,5,500-600,550.0,4916,178,189.0,189.0,0.036208299430431246,0.03133783060336526,0.04180306076191771
cell_type,BM_InOm | BM_InOm,6,600-700,650.0,5129,163,174.0,174.0,0.03178007408851628,0.027318829634584808,0.03694218321256794
cell_type,BM_InOm | BM_InOm,7,700-800,750.0,4933,123,132.0,132.0,0.02493411717007906,0.020938547015712128,0.02966903172450916
cell_type,BM_InOm | BM_InOm,8,800-900,850.0,4765,118,128.0,128.0,0.024763903462749214,0.020719386652227723,0.029574085036997606
cell_type,BM_InOm | BM_InOm,9,900-1000,950.0,4803,92,97.0,97.0,0.01915469498230273,0.015645043210757922,0.02343292432617943
cell_type,BM_InOm | BM_InOm,10,1000-1100,1050.0,4619,68,72.0,72.0,0.014721801255683049,0.011629873166629313,0.018620265622465257
