partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
flow,afferent | afferent,0,0-100,50.0,88322,35825,128491.0,128491.0,0.40561807930074045,0.4023839820089598,0.4088603865926748
flow,afferent | afferent,1,100-200,150.0,25655,6518,14074.0,14074.0,0.25406353537322157,0.2487735121707266,0.2594272009900732
flow,afferent | afferent,2,200-300,250.0,17740,3531,7022.0,7022.0,0.19904171364148815,0.1932314921825003,0.2049822520159375
flow,afferent | afferent,3,300-400,350.0,17100,2723,4950.0,4950.0,0.15923976608187135,0.1538321011410007,0.16480050359500198
flow,afferent | afferent,4,400-500,450.0,17564,2264,4443.0,4443.0,0.12890002277385562,0.12402535122388426,0.13393699288103986
flow,afferent | afferent,5,500-600,550.0,17165,1690,3026.0,3026.0,0.09845616079230993,0.09408853522937477,0.10300348057674691
flow,afferent | afferent,6,600-700,650.0,17855,1612,2871.0,2871.0,0.0902828339400728,0.08616679401359387,0.09457514167836054
flow,afferent | afferent,7,700-800,750.0,17299,1251,2198.0,2198.0,0.07231631886236199,0.06855074423410991,0.07627180329473067
flow,afferent | afferent,8,800-900,850.0,17206,1068,1861.0,1861.0,0.062071370452167846,0.05856285889938494,0.06577539183733304
flow,afferent | afferent,9,900-1000,950.0,17460,941,1622.0,1622.0,0.05389461626575029,0.0506422067533724,0.05734328940458633
flow,afferent | afferent,10,1000-1100,1050.0,17186,786,1262.0,1262.0,0.04573490050040731,0.042711723425429116,0.04896111665472612
flow,afferent | afferent,11,1100-1200,1150.0,17553,696,1197.0,1197.0,0.03965134165099983,0.036863781831989864,0.04264035859381428
flow,afferent | afferent,12,1200-1300,1250.0,17238,594,975.0,975.0,0.03445875391576749,0.03183780676327914,0.03728715260301036
flow,afferent | afferent,13,1300-1400,1350.0,17285,588,1013.0,1013.0,0.03401793462539775,0.031417329810980985,0.03682562291524448
