partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
nt,acetylcholine | acetylcholine,0,0-100,50.0,5945182,2545875,12425935.0,12425935.0,0.42822490547808295,0.4278271910984679,0.4286227126155058
nt,acetylcholine | acetylcholine,1,100-200,150.0,2174417,483919,1137280.0,1137280.0,0.22255114819282593,0.22199875277446782,0.22310452396189515
nt,acetylcholine | acetylcholine,2,200-300,250.0,1332480,214194,445583.0,445583.0,0.16074837896253602,0.16012570115188068,0.1613730129230323
nt,acetylcholine | acetylcholine,3,300-400,350.0,1160558,147012,285101.0,285101.0,0.12667354841378026,0.1260696466110392,0.1272799217278962
nt,acetylcholine | acetylcholine,4,400-500,450.0,1107950,111606,207184.0,207184.0,0.10073198249018457,0.10017293241453015,0.10129380132381152
nt,acetylcholine | acetylcholine,5,500-600,550.0,1035602,81669,144780.0,144780.0,0.07886137724724364,0.07834383416418775,0.07938204477411431
nt,acetylcholine | acetylcholine,6,600-700,650.0,1031602,65539,112504.0,112504.0,0.06353128435191091,0.06306221186465931,0.06400360757340696
nt,acetylcholine | acetylcholine,7,700-800,750.0,993587,50555,85388.0,85388.0,0.05088130178836881,0.050450927413333874,0.051315149090727166
nt,acetylcholine | acetylcholine,8,800-900,850.0,968847,39909,66566.0,66566.0,0.041192262555388,0.04079834557001966,0.04158981798689992
nt,acetylcholine | acetylcholine,9,900-1000,950.0,951600,32235,53316.0,53316.0,0.03387452711223203,0.033512923270021554,0.03423989442730458
nt,acetylcholine | acetylcholine,10,1000-1100,1050.0,914703,25495,41478.0,41478.0,0.027872435096419276,0.027537074950904742,0.028211760939293545
nt,acetylcholine | acetylcholine,11,1100-1200,1150.0,905118,20850,34116.0,34116.0,0.023035670487163,0.022728628566223822,0.023346761158411892
nt,acetylcholine | acetylcholine,12,1200-1300,1250.0,876442,17153,27832.0,27832.0,0.01957117527457607,0.019283265398214226,0.019863296741170794
nt,acetylcholine | acetylcholine,13,1300-1400,1350.0,860236,14344,22895.0,22895.0,0.016674493976071684,0.016406047828294912,0.01694725692754471
nt,acetylcholine | acetylcholine,14,1400-1500,1450.0,848330,12353,19715.0,19715.0,0.014561550340079922,0.014308826563841614,0.014818670641027645
nt,acetylcholine | acetylcholine,15,1500-1600,1550.0,827441,10287,16572.0,16572.0,0.012432306351751968,0.012195807915584335,0.01267333207471324
nt,acetylcholine | acetylcholine,16,1600-1700,1650.0,822323,9022,14587.0,14587.0,0.0109713579700434,0.01074848274385836,0.011198802309958372
nt,acetylcholine | acetylcholine,17,1700-1800,1750.0,807024,7825,12618.0,12618.0,0.009696118083229247,0.009484645532042741,0.00991225850656509
nt,acetylcholine | acetylcholine,18,1800-1900,1850.0,796152,6771,10947.0,10947.0,0.008504657402104121,0.008305303461733714,0.008708754455341302
nt,acetylcholine | acetylcholine,19,1900-2000,1950.0,791202,5944,9874.0,9874.0,0.007512620038877556,0.007324726565965511,0.00770529593229103
nt,acetylcholine | dopamine,0,0-100,50.0,254885,123257,745210.0,745210.0,0.4835788689016615,0.48163905120716666,0.4855191815838289
nt,acetylcholine | dopamine,1,100-200,150.0,105720,26622,97660.0,97660.0,0.2518161180476731,0.24920865188235367,0.254441620318879
nt,acetylcholine | dopamine,2,200-300,250.0,71409,13146,41760.0,41760.0,0.18409444187707433,0.18126883442028138,0.18695403713675804
nt,acetylcholine | dopamine,3,300-400,350.0,65292,9397,26075.0,26075.0,0.14392268578080009,0.14125118557804187,0.14663608471942838
nt,acetylcholine | dopamine,4,400-500,450.0,65065,7301,18603.0,18603.0,0.11221086605701991,0.10980848426241174,0.11465903722486182
nt,acetylcholine | dopamine,5,500-600,550.0,61957,5678,13743.0,13743.0,0.09164420485175202,0.08939754110626338,0.09394150508254759
nt,acetylcholine | dopamine,6,600-700,650.0,63158,4708,10714.0,10714.0,0.07454320909465151,0.07252054131943451,0.07661763073791726
nt,acetylcholine | dopamine,7,700-800,750.0,61456,3624,8342.0,8342.0,0.05896901848476959,0.05713397591613874,0.06085919509131793
nt,acetylcholine | dopamine,8,800-900,850.0,61369,2925,6305.0,6305.0,0.0476625006110577,0.046004987176172185,0.04937664169075648
nt,acetylcholine | dopamine,9,900-1000,950.0,61164,2366,4980.0,4980.0,0.03868288535739978,0.03718335855462171,0.04024035750470055
nt,acetylcholine | dopamine,10,1000-1100,1050.0,60102,1918,4071.0,4071.0,0.031912415560214305,0.03053682493472002,0.03334784081131289
nt,acetylcholine | dopamine,11,1100-1200,1150.0,60228,1670,3324.0,3324.0,0.02772796705851099,0.026446461320816194,0.02906971602282989
nt,acetylcholine | dopamine,12,1200-1300,1250.0,59744,1290,2688.0,2688.0,0.02159212640599893,0.02045700656022069,0.022788766522233217
nt,acetylcholine | dopamine,13,1300-1400,1350.0,59698,1131,2408.0,2408.0,0.018945358303460752,0.01788227014207025,0.020070354756522496
nt,acetylcholine | dopamine,14,1400-1500,1450.0,59585,949,1864.0,1864.0,0.015926827221616178,0.014952351621059099,0.01696371771229743
nt,acetylcholine | dopamine,15,1500-1600,1550.0,59526,801,1519.0,1519.0,0.013456304807983066,0.01256159913164802,0.01441380609099917
nt,acetylcholine | dopamine,16,1600-1700,1650.0,60633,700,1319.0,1319.0,0.011544868306037966,0.01072497341898858,0.012426654584010833
nt,acetylcholine | dopamine,17,1700-1800,1750.0,60915,599,1270.0,1270.0,0.009833374374127884,0.009080091095794112,0.010648478398212815
nt,acetylcholine | dopamine,18,1800-1900,1850.0,61523,489,945.0,945.0,0.007948246997058012,0.007276637526974058,0.008681301714945359
nt,acetylcholine | dopamine,19,1900-2000,1950.0,62817,433,780.0,780.0,0.006893038508683955,0.006275485634620166,0.007570900020932719
nt,acetylcholine | gaba,0,0-100,50.0,4170387,2096662,13570049.0,13570049.0,0.502749984593756,0.502270103742669,0.5032298603784876
nt,acetylcholine | gaba,1,100-200,150.0,1368678,353559,915812.0,915812.0,0.2583215336258784,0.2575888926164472,0.25905553131582987
nt,acetylcholine | gaba,2,200-300,250.0,838349,157178,360870.0,360870.0,0.18748516429315237,0.18665110414964983,0.1883220885218784
nt,acetylcholine | gaba,3,300-400,350.0,726156,107799,232734.0,232734.0,0.14845157238940393,0.14763564903562468,0.14927121533317464
nt,acetylcholine | gaba,4,400-500,450.0,689034,81453,167535.0,167535.0,0.11821332474159475,0.11745310892986704,0.11897779771193734
nt,acetylcholine | gaba,5,500-600,550.0,636594,60019,119544.0,119544.0,0.09428144154673151,0.09356603649543722,0.0950017432794542
nt,acetylcholine | gaba,6,600-700,650.0,626427,48303,94407.0,94407.0,0.07710874531270204,0.07645072141264067,0.07777195599137046
nt,acetylcholine | gaba,7,700-800,750.0,598165,37269,70858.0,70858.0,0.06230555114391514,0.06169581037135973,0.06292091389768317
nt,acetylcholine | gaba,8,800-900,850.0,577669,29803,56180.0,56180.0,0.0515918285384883,0.051024371611039225,0.05216524941198931
nt,acetylcholine | gaba,9,900-1000,950.0,562606,24309,45826.0,45826.0,0.04320785771925646,0.04267966424535619,0.043742289309037514
nt,acetylcholine | gaba,10,1000-1100,1050.0,536257,19228,35340.0,35340.0,0.03585594220681502,0.035361611171925156,0.03635692319886788
nt,acetylcholine | gaba,11,1100-1200,1150.0,527144,16382,30260.0,30260.0,0.03107689739426039,0.030611862900539914,0.03154876646017793
nt,acetylcholine | gaba,12,1200-1300,1250.0,507281,13565,25581.0,25581.0,0.026740603334246698,0.026300226915464596,0.02718814761277598
nt,acetylcholine | gaba,13,1300-1400,1350.0,494605,11349,21016.0,21016.0,0.022945582838830986,0.022531985411802284,0.023366590777337964
nt,acetylcholine | gaba,14,1400-1500,1450.0,484902,9893,17882.0,17882.0,0.020402060622558785,0.02000792886322173,0.020803791479641634
nt,acetylcholine | gaba,15,1500-1600,1550.0,470437,8335,15388.0,15388.0,0.017717568983732147,0.017344501930995584,0.01809851263230461
nt,acetylcholine | gaba,16,1600-1700,1650.0,463809,7363,13732.0,13732.0,0.015875069263425245,0.015519334240507743,0.016238823962242632
nt,acetylcholine | gaba,17,1700-1800,1750.0,451440,6342,11898.0,11898.0,0.014048378522062732,0.013709172024266914,0.014395855513669932
nt,acetylcholine | gaba,18,1800-1900,1850.0,444796,5667,10519.0,10519.0,0.012740672128346477,0.012415254826170768,0.013074506049679326
nt,acetylcholine | gaba,19,1900-2000,1950.0,438388,4961,9034.0,9034.0,0.011316459392136645,0.01100759387842181,0.01163388951181106
nt,acetylcholine | glutamate,0,0-100,50.0,4130006,1845833,9089122.0,9089122.0,0.4469322804857911,0.4464528277099564,0.44741183198533774
nt,acetylcholine | glutamate,1,100-200,150.0,1580579,384528,880170.0,880170.0,0.24328299945779364,0.24261470945436733,0.2439525373604168
nt,acetylcholine | glutamate,2,200-300,250.0,986563,174552,350747.0,350747.0,0.17692940035253704,0.17617762889917374,0.17768368781994678
nt,acetylcholine | glutamate,3,300-400,350.0,866505,121216,227245.0,227245.0,0.13989071038251366,0.13916193868118099,0.140622675117271
nt,acetylcholine | glutamate,4,400-500,450.0,830319,92647,164637.0,164637.0,0.11158000720205126,0.11090457385249032,0.11225903470600508
nt,acetylcholine | glutamate,5,500-600,550.0,773611,68153,116263.0,116263.0,0.08809724784161549,0.08746767978561364,0.08873090673333454
nt,acetylcholine | glutamate,6,600-700,650.0,768901,54373,91104.0,91104.0,0.07071521561293326,0.07014436166803911,0.071290359140461
nt,acetylcholine | glutamate,7,700-800,750.0,735159,41499,67763.0,67763.0,0.05644901307064186,0.05592376174878001,0.05697889995179742
nt,acetylcholine | glutamate,8,800-900,850.0,712214,33024,53240.0,53240.0,0.04636808599662461,0.04588215597016002,0.046858909672922285
nt,acetylcholine | glutamate,9,900-1000,950.0,694025,26160,41387.0,41387.0,0.037693166672670295,0.03724763848925741,0.03814381279304618
nt,acetylcholine | glutamate,10,1000-1100,1050.0,662990,21035,33176.0,33176.0,0.03172747703585273,0.03130827349997063,0.03215210721557778
nt,acetylcholine | glutamate,11,1100-1200,1150.0,652356,17613,27622.0,27622.0,0.026999061861928148,0.026608519751568294,0.027395174764013912
nt,acetylcholine | glutamate,12,1200-1300,1250.0,629824,14194,22217.0,22217.0,0.022536454628594656,0.022172801100219304,0.022905932681815525
nt,acetylcholine | glutamate,13,1300-1400,1350.0,612618,11746,18451.0,18451.0,0.019173449033492322,0.018833046378323514,0.019519881977340902
nt,acetylcholine | glutamate,14,1400-1500,1450.0,600664,9791,15157.0,15157.0,0.01630029434092937,0.015983138603462902,0.016623637127745148
nt,acetylcholine | glutamate,15,1500-1600,1550.0,578655,8274,12813.0,12813.0,0.014298675376519687,0.013995992807355171,0.01460780689305884
nt,acetylcholine | glutamate,16,1600-1700,1650.0,572758,6836,10740.0,10740.0,0.011935232681167264,0.01165724709269119,0.012219765317557332
nt,acetylcholine | glutamate,17,1700-1800,1750.0,558375,6291,9784.0,9784.0,0.011266621893888516,0.01099312442230592,0.011546844255475731
nt,acetylcholine | glutamate,18,1800-1900,1850.0,548813,5444,8295.0,8295.0,0.009919590097173353,0.009660803085560252,0.010185238023977007
nt,acetylcholine | glutamate,19,1900-2000,1950.0,540933,4833,7622.0,7622.0,0.008934563060489932,0.008687259104015597,0.009188841868139005
nt,acetylcholine | octopamine,0,0-100,50.0,66147,26626,90581.0,90581.0,0.4025277034483801,0.3987961698706303,0.40627055810883655
nt,acetylcholine | octopamine,1,100-200,150.0,32171,8181,14256.0,14256.0,0.2542973485437195,0.24956829659159713,0.2590850731269347
nt,acetylcholine | octopamine,2,200-300,250.0,21020,3989,6380.0,6380.0,0.18977164605137964,0.18452749825593662,0.19512916734603408
nt,acetylcholine | octopamine,3,300-400,350.0,18786,2999,4500.0,4500.0,0.15964015756414351,0.1544720933479832,0.16494739553158247
nt,acetylcholine | octopamine,4,400-500,450.0,18193,2367,3412.0,3412.0,0.13010498543395813,0.12529436988439285,0.13507178068978154
nt,acetylcholine | octopamine,5,500-600,550.0,16605,1704,2533.0,2533.0,0.1026196928635953,0.0980954965241316,0.10732771613387823
nt,acetylcholine | octopamine,6,600-700,650.0,16153,1467,2094.0,2094.0,0.09081904290224727,0.08648437050521275,0.0953482965922972
nt,acetylcholine | octopamine,7,700-800,750.0,15267,1141,1575.0,1575.0,0.07473635946813388,0.07067113104182407,0.07901555027376234
nt,acetylcholine | octopamine,8,800-900,850.0,14587,924,1204.0,1204.0,0.06334407349009392,0.059504986018808693,0.06741309388139394
nt,acetylcholine | octopamine,9,900-1000,950.0,14035,784,1080.0,1080.0,0.055860349127182046,0.05218101830287901,0.05978274941995079
nt,acetylcholine | octopamine,10,1000-1100,1050.0,13163,627,817.0,817.0,0.04763351819494036,0.044125017058187915,0.05140598712735647
nt,acetylcholine | octopamine,11,1100-1200,1150.0,12776,591,753.0,753.0,0.046258609893550406,0.042750744036457254,0.050039263626861515
nt,acetylcholine | octopamine,12,1200-1300,1250.0,12169,413,564.0,564.0,0.033938696688306354,0.03086572307832354,0.03730583679804912
nt,acetylcholine | octopamine,13,1300-1400,1350.0,11424,341,444.0,444.0,0.029849439775910366,0.026883435385224416,0.03313153717092303
nt,acetylcholine | octopamine,14,1400-1500,1450.0,11253,309,373.0,373.0,0.027459344174886696,0.024597416775179796,0.030643797598841418
