partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance,direction
nt,gaba | serotonin,165608,28181,23739.613578371976,151725.0,151725.0,0.17016690014975122,1.1870875617653,0.24742156597133896,0.026818670726221096,enriched
nt,dopamine | gaba,381423,71731,61267.658256025104,458200.0,458200.0,0.18806154846456558,1.1707808335068188,0.22746931572744655,0.027432382798034977,enriched
nt,serotonin | serotonin,50397,10500,9299.69532086593,57618.0,57618.0,0.20834573486517055,1.1290692477248065,0.175125105171705,0.023816986708218135,enriched
nt,acetylcholine | gaba,15613124,3099439,2762765.198524045,15824465.0,15824465.0,0.198514980089827,1.1218611707052835,0.1658941264380809,0.021563512944363677,enriched
nt,acetylcholine | serotonin,613820,93718,86533.01244871662,456930.0,456930.0,0.15267993874425728,1.0830317510966296,0.11507489977140319,0.01170536566303376,enriched
nt,acetylcholine | dopamine,1476246,209004,195150.31105298921,993580.0,993580.0,0.1415780296779805,1.070989837896026,0.09894454610775422,0.009384404053938696,enriched
nt,glutamate | octopamine,103426,17509,16425.258759795524,46050.0,46050.0,0.16929012047260844,1.0659801623860667,0.09217787195215399,0.010478421675444043,enriched
nt,gaba | octopamine,91955,17491,16576.32179222631,72339.0,72339.0,0.19021260399108258,1.0551798052208807,0.07748658303865533,0.009947019822453263,enriched
nt,acetylcholine | octopamine,343119,53431,51710.635861097195,131783.0,131783.0,0.15572148438296918,1.0332690579076222,0.047215524288372335,0.005013899372820524,enriched
nt,acetylcholine | glutamate,18035868,2948042,2913794.5688103,11247555.0,11247555.0,0.1634544009747687,1.0117535503553647,0.016857908717105467,0.0018988512884270405,enriched
nt,glutamate | serotonin,223181,32413,32460.207280060964,133738.0,133738.0,0.14523189698047773,0.9985456876583175,-0.002099623986607634,-0.00021152015655886462,enriched
nt,gaba | glutamate,5003846,851045,866614.1731402783,3843388.0,3843388.0,0.170078175867123,0.9820344812918745,-0.026154398179427402,-0.00311144130740201,enriched
nt,dopamine | octopamine,16750,1862,1938.7310350602017,3625.0,3625.0,0.11116417910447761,0.9604220318999437,-0.05824426713230737,-0.00458095731702697,enriched
nt,acetylcholine | acetylcholine,25150796,3902557,4111819.8093820433,15174271.0,15174271.0,0.15516634145495833,0.9491070087982545,-0.07535732978371257,-0.00832032550309912,enriched
nt,octopamine | serotonin,6355,782,848.4582848997997,2485.0,2485.0,0.12305271439811172,0.9216717119950709,-0.11760291404549023,-0.010457637277702542,enriched
nt,gaba | gaba,2543541,455987,496502.59141650365,2460082.0,2460082.0,0.17927251811549333,0.918398026280358,-0.12280842426142334,-0.015928813970957672,enriched
nt,dopamine | glutamate,622380,77558,86487.15878412548,277310.0,277310.0,0.12461518686333109,0.8967574041088235,-0.1572093827657619,-0.014346795822689483,enriched
nt,glutamate | glutamate,3827209,578349,647850.76479354,1960399.0,1960399.0,0.15111508151240238,0.8927194832969146,-0.1637210484826682,-0.018159908380634558,enriched
nt,dopamine | dopamine,3193624,358505,424314.6633878797,676514.0,676514.0,0.11225648354346035,0.8449036315115018,-0.24314098375382923,-0.020606578416206688,enriched
nt,dopamine | serotonin,35033,3474,4197.504350459808,28801.0,28801.0,0.0991636457054777,0.8276346395256141,-0.272898280838565,-0.020652080908280992,enriched
nt,octopamine | octopamine,1091,183,361.6267461328113,352.0,352.0,0.1677360219981668,0.5060466405125668,-0.9807146729506953,-0.16372753999341091,enriched
nt,octopamine | octopamine,1091,183,361.6267461328113,352.0,352.0,0.1677360219981668,0.5060466405125668,-0.9807146729506953,-0.16372753999341091,depleted
