partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance
post_neuropil,ME_R | ME_R,12556092,2049079,2177344.6839860645,8176709.0,8176709.0,0.1631940097285047,0.9410907767936638,-0.08759418338084106,-0.010215414476579537
post_neuropil,ME_L | ME_L,12133231,1935323,2066646.1145769644,7278759.0,7278759.0,0.1595059881411637,0.9364559255449277,-0.09471697582048866,-0.01082342490445986
post_neuropil,LO_L | ME_L,4601722,785581,717077.8302611645,2409198.0,2409198.0,0.17071457163209772,1.0955310105095373,0.13163023465043405,0.014886420722250396
post_neuropil,LO_R | ME_R,4415099,777349,697976.2512042207,2447656.0,2447656.0,0.17606604064823914,1.1137184089843133,0.15538440424775649,0.01797756942613955
post_neuropil,LO_L | LO_L,2049707,363388,460149.8710795054,1222982.0,1222982.0,0.177287778204397,0.7897166180824883,-0.3405926280097088,-0.04720765996286563
post_neuropil,LO_R | LO_R,1925694,350543,440868.75835287396,1237236.0,1237236.0,0.1820346327090389,0.7951187135819302,-0.3307573981566497,-0.04690556150295632
post_neuropil,GNG | GNG,1593868,311958,267888.12574903667,2185986.0,2185986.0,0.1957238616999651,1.1645085019268413,0.21972079212216236,0.02764963864696658
post_neuropil,LOP_R | ME_R,1345176,253175,227220.2176402449,880847.0,880847.0,0.18820957257637663,1.1142274337614138,0.15604341715849113,0.019294711145422683
post_neuropil,LOP_L | ME_L,1063807,185407,165605.51414133693,572601.0,572601.0,0.17428631321282903,1.1195702085243573,0.16294453758931438,0.01861379541464107
post_neuropil,AVLP_R | AVLP_R,1016629,220845,231696.29519306417,1351057.0,1351057.0,0.21723263845512966,0.9531658666185311,-0.06920065314388277,-0.010673800563493834
post_neuropil,MB_CA_L | MB_CA_L,969604,96903,138625.42507423676,152722.0,152722.0,0.09994080057425506,0.6990276130666973,-0.5165764082271235,-0.043030376395143545
post_neuropil,LOP_R | LO_R,911647,185953,164763.87595353133,703015.0,703015.0,0.2039747840995473,1.1286029715181298,0.17453755432215068,0.0232426849937187
post_neuropil,MB_CA_R | MB_CA_R,890858,85020,117178.29654801315,132453.0,132453.0,0.0954360852122336,0.7255609827470356,-0.46282888982967363,-0.036098117262249596
post_neuropil,AVLP_L | AVLP_L,828072,183163,185013.09046819498,1047158.0,1047158.0,0.22119211855973878,0.9900002185601401,-0.01449921181266264,-0.002234214498491648
post_neuropil,LOP_L | LO_L,764562,144636,130609.39666402935,475290.0,475290.0,0.18917497861520713,1.1073935236991541,0.1471674541766749,0.018345933143382287
post_neuropil,FB | FB,676968,151581,145303.6645477939,756981.0,756981.0,0.22391161768355372,1.0432014944133865,0.06101763579375571,0.009272721091995652
post_neuropil,LH_L | LH_L,590961,83764,113031.34756010886,234710.0,234710.0,0.1417420100480404,0.7410687548908077,-0.43231846594158846,-0.04952500682804594
post_neuropil,LH_R | LH_R,585878,93598,123690.01095967996,271014.0,271014.0,0.1597568094381424,0.7567142995121147,-0.4021775121541792,-0.051362247702900536
post_neuropil,LH_R | SLP_R,558689,69927,73618.22960895667,208499.0,208499.0,0.12516265757872447,0.9498598427513995,-0.07421292641013093,-0.006606948783592779
post_neuropil,SLP_R | SLP_R,510595,79688,88208.63565511622,259021.0,259021.0,0.15606890000881324,0.9034036113149879,-0.14655653959284765,-0.016687659799089722
