partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
post_neuropil,AL_L | AL_L,0,0-100,50.0,82857,52836,560337.0,560337.0,0.6376769615120026,0.6343976948810917,0.6409434621655199
post_neuropil,AL_L | AL_L,1,100-200,150.0,17709,6398,13942.0,13942.0,0.3612852222033994,0.35424082799697654,0.3683897859413314
post_neuropil,AL_L | AL_L,2,200-300,250.0,12009,3180,5909.0,5909.0,0.2648013989507869,0.2569859157639521,0.2727673109829985
post_neuropil,AL_L | AL_L,3,300-400,350.0,11147,2240,3826.0,3826.0,0.20095092850094196,0.1936156210641922,0.20849228799264527
post_neuropil,AL_L | AL_L,4,400-500,450.0,10873,1700,2669.0,2669.0,0.15635059321254483,0.14964537272759187,0.1632985612909011
post_neuropil,AL_L | AL_L,5,500-600,550.0,10101,1262,1977.0,1977.0,0.12493812493812494,0.11863212944306997,0.13152929812448336
post_neuropil,AL_L | AL_L,6,600-700,650.0,10217,935,1459.0,1459.0,0.09151414309484193,0.0860755151937394,0.09725983754277107
post_neuropil,AL_L | AL_L,7,700-800,750.0,9548,711,1141.0,1141.0,0.07446585672392124,0.0693693528019795,0.07990464688411242
post_neuropil,AL_L | AL_L,8,800-900,850.0,9085,538,781.0,781.0,0.05921849201981288,0.05454861885341771,0.06426097730017795
post_neuropil,AL_L | AL_L,9,900-1000,950.0,8629,430,677.0,677.0,0.049831961988642946,0.045437698069744355,0.054626873947886546
post_neuropil,AL_L | AL_L,10,1000-1100,1050.0,8080,349,528.0,528.0,0.04319306930693069,0.03897317992980859,0.047847125901023135
post_neuropil,AL_L | AL_L,11,1100-1200,1150.0,7852,273,396.0,396.0,0.0347682119205298,0.03093829103502717,0.03905314056410285
post_neuropil,AL_L | AL_L,12,1200-1300,1250.0,7570,236,349.0,349.0,0.03117569352708058,0.027492203865710284,0.035334776830585224
post_neuropil,AL_L | AL_L,13,1300-1400,1350.0,7096,189,291.0,291.0,0.026634723788049604,0.023136744150082832,0.030644962754476836
