partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
pre_neuropil,AL_L | AL_L,0,0-100,50.0,49582,32466,283172.0,283172.0,0.6547940784962285,0.6505973265563773,0.6589668454874428
pre_neuropil,AL_L | AL_L,1,100-200,150.0,11220,4764,9997.0,9997.0,0.42459893048128344,0.4154801991045663,0.43376927711755003
pre_neuropil,AL_L | AL_L,2,200-300,250.0,7803,2389,4288.0,4288.0,0.30616429578367294,0.2960351598443049,0.31648419753576545
pre_neuropil,AL_L | AL_L,3,300-400,350.0,7365,1721,3057.0,3057.0,0.23367277664630007,0.2241486098634345,0.24347463230260685
pre_neuropil,AL_L | AL_L,4,400-500,450.0,7206,1296,2237.0,2237.0,0.17985012489592006,0.1711537325944077,0.1888876863460583
pre_neuropil,AL_L | AL_L,5,500-600,550.0,6852,968,1619.0,1619.0,0.14127262113251604,0.13322633832191721,0.14972092230324074
pre_neuropil,AL_L | AL_L,6,600-700,650.0,6802,717,1048.0,1048.0,0.10541017347838871,0.0983337791985953,0.11293202516570257
pre_neuropil,AL_L | AL_L,7,700-800,750.0,6199,528,786.0,786.0,0.08517502823035973,0.07848037506112587,0.09238350771156978
pre_neuropil,AL_L | AL_L,8,800-900,850.0,5878,401,556.0,556.0,0.06822048315753658,0.06205294776412638,0.07495203380491146
pre_neuropil,AL_L | AL_L,9,900-1000,950.0,5556,324,463.0,463.0,0.058315334773218146,0.05245312970398275,0.0647879082421343
pre_neuropil,AL_L | AL_L,10,1000-1100,1050.0,5217,241,364.0,364.0,0.04619513130151428,0.04082531674176744,0.05223278331627683
pre_neuropil,AL_L | AL_L,11,1100-1200,1150.0,5008,195,266.0,266.0,0.03893769968051118,0.033923733081354504,0.04465847909390658
pre_neuropil,AL_L | AL_L,12,1200-1300,1250.0,4594,159,233.0,233.0,0.03461036134087941,0.029701273093352472,0.04029713659522836
pre_neuropil,AL_L | AL_L,13,1300-1400,1350.0,4482,124,182.0,182.0,0.027666220437304774,0.02325397584212016,0.032887462589410714
pre_neuropil,AL_L | AL_L,14,1400-1500,1450.0,4312,100,146.0,146.0,0.023191094619666047,0.019105059119565376,0.028125960665776138
pre_neuropil,AL_L | AL_L,15,1500-1600,1550.0,4003,81,112.0,112.0,0.020234823882088433,0.01631081440345825,0.02507879281235981
pre_neuropil,AL_L | AL_L,16,1600-1700,1650.0,3908,91,128.0,128.0,0.02328556806550665,0.01900460303823106,0.028502842048502515
pre_neuropil,AL_L | AL_L,17,1700-1800,1750.0,3783,74,97.0,97.0,0.019561194818926778,0.015610853404689911,0.024486308303895945
pre_neuropil,AL_L | AL_L,18,1800-1900,1850.0,3697,59,83.0,83.0,0.015958885582905057,0.01239268188075247,0.020529991707871263
pre_neuropil,AL_L | AL_L,19,1900-2000,1950.0,3687,63,90.0,90.0,0.01708706265256306,0.01337855347722244,0.02180084842395912
pre_neuropil,AL_L | AL_R,0,0-100,50.0,49215,30495,148186.0,148186.0,0.6196281621456873,0.6153297745155545,0.623907875482287
pre_neuropil,AL_L | AL_R,1,100-200,150.0,13693,5959,12495.0,12495.0,0.43518586138903087,0.4269010012963944,0.44350707876784445
