partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
side,center | center,0,0-100,50.0,1364,586,3265.0,3265.0,0.42961876832844575,0.4035818176975954,0.45605105207329033
side,center | center,1,100-200,150.0,261,46,94.0,94.0,0.17624521072796934,0.13481143010922206,0.22707129526322697
side,center | center,2,200-300,250.0,148,28,45.0,45.0,0.1891891891891892,0.1342611766834965,0.259844259507903
side,center | center,7,700-800,750.0,63,4,7.0,7.0,0.06349206349206349,0.024965213900485034,0.15219392053076733
side,center | center,10,1000-1100,1050.0,63,2,2.0,2.0,0.031746031746031744,0.00874934404029698,0.10856681834959193
side,center | center,12,1200-1300,1250.0,76,1,1.0,1.0,0.013157894736842105,0.002326420140567463,0.0708384462949749
side,center | center,14,1400-1500,1450.0,54,1,1.0,1.0,0.018518518518518517,0.0032764033153519848,0.09771665358487208
side,center | left,0,0-100,50.0,39330,18256,126972.0,126972.0,0.4641749300788202,0.45924980877953986,0.4691070491989598
side,center | left,1,100-200,150.0,14318,3779,9369.0,9369.0,0.263933510266797,0.25677779643838605,0.2712158660526165
side,center | left,2,200-300,250.0,8979,1907,4487.0,4487.0,0.2123844526116494,0.2040485594713701,0.2209663489513722
side,center | left,3,300-400,350.0,7712,1421,3151.0,3151.0,0.18425829875518673,0.17576331316140392,0.19306769031590953
side,center | left,4,400-500,450.0,7321,1077,2231.0,2231.0,0.14711105040295042,0.1391820553552655,0.15541019903560077
side,center | left,5,500-600,550.0,6712,825,1654.0,1654.0,0.12291418355184744,0.11527406186689683,0.1309857069757751
side,center | left,6,600-700,650.0,6611,716,1318.0,1318.0,0.10830434124943276,0.10103930120451886,0.11602433944259806
side,center | left,7,700-800,750.0,6284,602,1102.0,1102.0,0.09579885423297263,0.0887668653302337,0.10332474206649209
side,center | left,8,800-900,850.0,6039,469,793.0,793.0,0.07766186454711045,0.07117687150104839,0.08468384144565534
side,center | left,9,900-1000,950.0,5771,392,686.0,686.0,0.0679258360769364,0.061717141081749416,0.0747093887818576
side,center | left,10,1000-1100,1050.0,5632,305,531.0,531.0,0.054154829545454544,0.0485420424053209,0.060375426105504525
side,center | left,11,1100-1200,1150.0,5263,286,482.0,482.0,0.054341630248907466,0.04853576995777519,0.06079761117143894
side,center | left,12,1200-1300,1250.0,5256,227,394.0,394.0,0.043188736681887364,0.03801851321368965,0.04902623733545235
side,center | left,13,1300-1400,1350.0,4969,197,340.0,340.0,0.03964580398470517,0.034566431695159695,0.0454364382937014
side,center | left,14,1400-1500,1450.0,4976,181,302.0,302.0,0.03637459807073955,0.031519989188650954,0.04194451618838753
side,center | left,15,1500-1600,1550.0,4693,157,283.0,283.0,0.03345408054549329,0.028678862826160428,0.038992484659775666
side,center | left,16,1600-1700,1650.0,4667,122,237.0,237.0,0.026140989929290766,0.02193834925553472,0.031123094746334234
