partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
super_class,ascending | ascending,0,0-100,50.0,7285,3665,24587.0,24587.0,0.5030885380919699,0.49160832041709457,0.5145655001252535
super_class,ascending | ascending,1,100-200,150.0,3083,1122,3908.0,3908.0,0.36393123580927667,0.3471266520851922,0.38107449694688
super_class,ascending | ascending,2,200-300,250.0,2063,687,2127.0,2127.0,0.3330101793504605,0.3129997276664467,0.35364139277548756
super_class,ascending | ascending,3,300-400,350.0,2022,581,1580.0,1580.0,0.2873392680514342,0.26803269365207155,0.30745237882348625
super_class,ascending | ascending,4,400-500,450.0,2159,538,1665.0,1665.0,0.2491894395553497,0.2314000258716303,0.2678698235708809
super_class,ascending | ascending,5,500-600,550.0,2128,440,1128.0,1128.0,0.20676691729323307,0.1900954791478518,0.2244951733659185
super_class,ascending | ascending,6,600-700,650.0,2309,461,1098.0,1098.0,0.1996535296665223,0.1838532811858412,0.21645152135662432
super_class,ascending | ascending,7,700-800,750.0,2205,356,780.0,780.0,0.16145124716553289,0.14668404742191118,0.17739604958459207
super_class,ascending | ascending,8,800-900,850.0,2211,337,746.0,746.0,0.1524197195838987,0.1380413540421242,0.16800382769908928
super_class,ascending | ascending,9,900-1000,950.0,2402,317,650.0,650.0,0.13197335553705244,0.11902340982192076,0.1460986164993466
super_class,ascending | ascending,10,1000-1100,1050.0,2404,293,550.0,550.0,0.1218801996672213,0.10940226275150922,0.13556468191794085
super_class,ascending | ascending,11,1100-1200,1150.0,2446,248,492.0,492.0,0.10139002452984465,0.09004593523926788,0.1139842355276911
super_class,ascending | ascending,12,1200-1300,1250.0,2330,194,346.0,346.0,0.08326180257510729,0.07271782424231459,0.09517771759737152
super_class,ascending | ascending,13,1300-1400,1350.0,2381,195,397.0,397.0,0.08189836203275934,0.07154578107697723,0.0935979332896289
super_class,ascending | ascending,14,1400-1500,1450.0,2528,211,402.0,402.0,0.08346518987341772,0.07330497973779751,0.09488942863277353
super_class,ascending | ascending,15,1500-1600,1550.0,2473,164,296.0,296.0,0.06631621512333198,0.05716601511143487,0.07681170877692359
super_class,ascending | ascending,16,1600-1700,1650.0,2617,162,275.0,275.0,0.061902942300343905,0.053296741500908656,0.07179345853254623
